HELLO lon_control
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
lon_control_rev_speed: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
temp_cmd.trq_value: 7.2
